name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two
Byg Brewski Brewing Company,1,1,4.9,16832,Sarjapur Road,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",1600.0
Toit,0,0,4.7,14956,Indiranagar,Microbrewery,"Italian, American, Pizza",1500.0
Truffles,0,0,4.7,14726,Koramangala 5th Block,"Cafe, Casual Dining","Cafe, American, Burger, Steak",900.0
AB's - Absolute Barbecues,0,1,4.8,12121,Marathahalli,Casual Dining,"European, Mediterranean, North Indian, BBQ",1600.0
The Black Pearl,0,1,4.7,10550,Koramangala 5th Block,"Casual Dining, Bar","North Indian, European, Mediterranean",1400.0
Big Pitcher,0,1,4.6,9300,Old Airport Road,"Pub, Microbrewery","American, Continental, North Indian, Mediterranean",1800.0
Onesta,1,1,4.4,9085,Koramangala 4th Block,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0
Arbor Brewing Company,0,1,4.5,8419,Brigade Road,"Pub, Microbrewery","American, Continental",2000.0
Empire Restaurant,1,0,4.1,8304,Indiranagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0
Prost Brew Pub,0,1,4.5,7871,Koramangala 4th Block,"Pub, Microbrewery","American, Continental, North Indian, Salad",1800.0
Church Street Social,1,0,4.3,7584,Church Street,Lounge,"American, North Indian, Chinese, Finger Food, Momos",1500.0
Hoot,1,1,4.2,7330,Sarjapur Road,"Microbrewery, Pub","Continental, Italian, North Indian",1400.0
The Black Pearl,0,1,4.8,7284,Marathahalli,"Casual Dining, Bar","North Indian, European, Mediterranean, BBQ",1500.0
Barbeque Nation,0,1,4.7,7270,Indiranagar,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab",1600.0
Meghana Foods,1,0,4.4,7238,Koramangala 5th Block,Casual Dining,"Biryani, Andhra, North Indian, Seafood",600.0
Flechazo,0,1,4.7,7154,Marathahalli,Casual Dining,"Asian, Mediterranean, North Indian, BBQ",1400.0
The Hole in the Wall Cafe,0,0,4.6,7137,Koramangala 4th Block,Cafe,"Cafe, American, Burger",600.0
Biergarten,0,1,4.7,7064,Whitefield,"Microbrewery, Pub","Continental, European, BBQ, Chinese, Asian",2400.0
Vapour Pub & Brewery,0,1,4.2,6998,Indiranagar,"Microbrewery, Pub","North Indian, Continental, Chinese",1400.0
